source_group,source_name,source_url,source_year,record_no,date_text,location_text,category_text,body_text,confirmed_date,raw_html_file,parse_note
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,71,11月13日(木曜日) 午後2時20分頃,千歳市美々のJR千歳線旧美々駅から北へ約600メートル進んだ付近,目撃,11月13日(木曜日) 午後2時20分頃、千歳市美々のJR千歳線旧美々駅から北へ約600メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,70,11月12日(水曜日) 午前8時40分頃,千歳市新川の道道幌内三川停車場線の黒沢橋から西へ約1.7キロメートル進んだ付近,足跡,11月12日(水曜日) 午前8時40分頃、千歳市新川の道道幌内三川停車場線の黒沢橋から西へ約1.7キロメートル進んだ付近でクマの足跡が発見されました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,69,11月7日(金曜日) 午前5時35分頃,千歳市福住1丁目と文京5丁目の境界付近,目撃,11月7日(金曜日) 午前5時35分頃、千歳市福住1丁目と文京5丁目の境界付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,68,11月5日(水曜日) 午前7時40分頃,千歳市柏台の鉄北通用水橋付近,目撃,11月5日(水曜日) 午前7時40分頃、千歳市柏台の鉄北通用水橋付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,67,11月2日(日曜日) 午後5時47分頃,千歳市流通1丁目の日の出大通の駒里方面分岐から南へ100メートル進んだ付近,目撃,11月2日(日曜日) 午後5時47分頃、千歳市流通1丁目の日の出大通の駒里方面分岐から南へ100メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,66,10月31日（金曜日) 午前7時40分頃,千歳市中央の国道337号のコムカラ峠に向かう分岐から500メートル南へ進んだ付近,目撃,10月31日（金曜日) 午前7時40分頃、千歳市中央の国道337号のコムカラ峠に向かう分岐から500メートル南へ進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,65,10月29日(水曜日) 午後4時00分頃,千歳市美々の美々公園の山林,目撃,10月29日(水曜日) 午後4時00分頃、千歳市美々の美々公園の山林でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,64,10月29日(水曜日) 午前9時30分頃,千歳市駒里の千歳川上流地区河川防災ステーション付近,足跡,10月29日(水曜日) 午前9時30分頃、千歳市駒里の千歳川上流地区河川防災ステーション付近でクマの足跡が発見されました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,63,10月28日(火曜日) 午後10時50分頃,千歳市旭ヶ丘1丁目付近,目撃,10月28日(火曜日) 午後10時50分頃、千歳市旭ヶ丘1丁目付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,62,10月26日(日曜日) 午後4時45分頃,千歳市大和4丁目の指宿公園のパークゴルフ場付近,目撃,10月26日(日曜日) 午後4時45分頃、千歳市大和4丁目の指宿公園のパークゴルフ場付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
