source_year,record_no,date_text,location_text,category_text,body_text,source_url,raw_html_file,relation_scope,matched_keywords,initial_inclusion_suggestion,suggestion_reason,pin_label_draft,review_status,reviewer_note
2025,27,6月26日(木曜日) 午後7時00分頃,千歳市幌美内の国道453号と道道丸駒線（730号線）の交差点から東へ約800メートル進んだ付近,目撃,6月26日(木曜日) 午後7時00分頃、千歳市幌美内の国道453号と道道丸駒線（730号線）の交差点から東へ約800メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"幌美内, 丸駒, 国道453号",周辺参考候補,"支笏湖周辺キーワード一致: 幌美内, 丸駒",2025.06 目撃,未確認,
2025,18,5月28日(水曜日) 午前8時30分頃,千歳市水明郷の千歳第四ダム付近,目撃,5月28日(水曜日) 午前8時30分頃、千歳市水明郷の千歳第四ダム付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖導線,水明郷,周辺参考候補,支笏湖導線キーワード一致: 水明郷,2025.05 目撃,未確認,
2025,17,5月27日(火曜日) 午前0時20分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約500メートル進んだ付近,目撃,5月27日(火曜日) 午前0時20分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約500メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
2025,16,5月23日(金曜日) 午前11時15分頃,千歳市水明郷の道道支笏湖公園線（16号線）の孵化場入口バス停から千歳市街地方面に約600メートル進んだ付近の山林,目撃,5月23日(金曜日) 午前11時15分頃、千歳市水明郷の道道支笏湖公園線（16号線）の孵化場入口バス停から千歳市街地方面に約600メートル進んだ付近の山林でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
2025,15,5月22日(木曜日) 午後10時48分頃,千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約500メートル進んだ付近の山林,目撃,5月22日(木曜日) 午後10時48分頃、千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約500メートル進んだ付近の山林でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
2025,14,5月22日(木曜日) 午前7時50分頃,千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞林道入口から支笏湖方面に約200メートル進んだ付近,目撃,5月22日(木曜日) 午前7時50分頃、千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞林道入口から支笏湖方面に約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
2025,12,5月19日(月曜日) 午後0時40分頃,千歳市水明郷の道道支笏湖公園線（16号線）の孵化場入口バス停から支笏湖方面へ約200メートル進んだ付近の山林,目撃,5月19日(月曜日) 午後0時40分頃、千歳市水明郷の道道支笏湖公園線（16号線）の孵化場入口バス停から支笏湖方面へ約200メートル進んだ付近の山林でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
2025,11,5月19日(月曜日) 午前7時55分頃,千歳市水明郷の千歳第四ダム付近,目撃,5月19日(月曜日) 午前7時55分頃、千歳市水明郷の千歳第四ダム付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖導線,水明郷,周辺参考候補,支笏湖導線キーワード一致: 水明郷,2025.05 目撃,未確認,
2025,7,5月3日(土曜日) 正午頃,千歳市支寒内の国道276号の姫鱒橋付近,目撃,5月3日(土曜日) 正午頃、千歳市支寒内の国道276号の姫鱒橋付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支寒内, 国道276号",周辺参考候補,支笏湖周辺キーワード一致: 支寒内,2025.05 目撃,未確認,
2025,6,5月5日(月曜日) 午後5時55分頃,千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約700メートル進んだ付近の山林,目撃,5月5日(月曜日) 午後5時55分頃、千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約700メートル進んだ付近の山林でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
